time,disp_x_max,disp_y_max,disp_z_max,react_y_bot,react_y_top,stress_vm_max,stress_yy_max
34,8.4772553832364e-07,5.3968253968254e-06,8.4772553832364e-07,-720.57921923105,720.57921923265,88897808.281859,89798787.240353
35,8.7265864239198e-07,5.5555555555556e-06,8.7265864239198e-07,-741.77272567902,741.77272568067,91512449.701914,92439928.041539
36,8.9759174646032e-07,5.7142857142857e-06,8.9759174646032e-07,-762.966232127,762.96623212871,94127091.121969,95081068.842726
37,9.2252485052867e-07,5.8730158730159e-06,9.2252485052867e-07,-784.15973857497,784.15973857672,96741732.542024,97722209.643914
38,9.4745795459701e-07,6.031746031746e-06,9.4745795459701e-07,-805.35324502294,805.35324502474,99356373.962078,100363350.4451
39,9.7239105866535e-07,6.1904761904762e-06,9.7239105866535e-07,-826.54675147091,826.54675147275,101971015.38213,103004491.24629
40,9.9732416273369e-07,6.3492063492063e-06,9.9732416273369e-07,-847.74025791889,847.74025792076,104585656.80219,105645632.04748
41,1.022257266802e-06,6.5079365079365e-06,1.022257266802e-06,-868.93376436686,868.93376436883,107200298.22224,108286772.84866
42,1.0471903708704e-06,6.6666666666667e-06,1.0471903708704e-06,-890.12727081483,890.12727081686,109814939.6423,110927913.64985
43,1.0721234749387e-06,6.8253968253968e-06,1.0721234749387e-06,-911.3207772628,911.32077726489,112429581.06235,113569054.45104
44,1.0970565790071e-06,6.984126984127e-06,1.0970565790071e-06,-932.51428371077,932.51428371291,115044222.48241,116210195.25222
45,1.1219896830754e-06,7.1428571428571e-06,1.1219896830754e-06,-953.70779015875,953.70779016091,117658863.90246,118851336.05341
46,1.1469227871437e-06,7.3015873015873e-06,1.1469227871437e-06,-974.90129660672,974.90129660892,120273505.32252,121492476.8546
47,1.1718558912121e-06,7.4603174603175e-06,1.1718558912121e-06,-996.09480305469,996.09480305694,122888146.74257,124133617.65579
48,1.1967889952804e-06,7.6190476190476e-06,1.1967889952804e-06,-1017.2883095027,1017.288309505,125502788.16263,126774758.45697
49,1.2217220993488e-06,7.7777777777778e-06,1.2217220993488e-06,-1038.4818159506,1038.4818159531,128117429.58268,129415899.25816
50,1.2466552034171e-06,7.9365079365079e-06,1.2466552034171e-06,-1059.6753223986,1059.6753224011,130732071.00274,132057040.05935
51,1.2715883074855e-06,8.0952380952381e-06,1.2715883074855e-06,-1080.8688288466,1080.8688288491,133346712.42279,134698180.86053
52,1.2965214115538e-06,8.2539682539683e-06,1.2965214115538e-06,-1102.0623352946,1102.0623352971,135961353.84285,137339321.66172
53,1.3214545156221e-06,8.4126984126984e-06,1.3214545156221e-06,-1123.2558417425,1123.2558417451,138575995.2629,139980462.46291
